Language,Query,GitHubUrl,Relevance,Notes
Go,unique elements,https://github.com/tylertreat/BoomFilters/blob/611b3dbe80e85df3a0a10a43997d4d5784e86245/topk.go#L70-L85,0,
Go,read properties file,https://github.com/gobs/httpclient/blob/a93d469d8657e74a3d5a8f72bd46b54a19c341f1/httpfile.go#L78-L128,0,
Go,heatmap from 3d coordinates,https://github.com/twpayne/go-geom/blob/e21b3afba225b21d05fbcbeb8ece2c79c96554c5/xy/cga.go#L231-L248,1,
Go,create cookie,https://github.com/volatiletech/abcweb/blob/9e9ffe4fa86ed4e557dcc4b9d59ca5d3d91c6a66/abcsessions/middleware.go#L50-L60,2,
Go,readonly array,https://github.com/ericchiang/k8s/blob/68fb2168bedf77759577a56e44f2ccfaf7229673/apis/extensions/v1beta1/generated.pb.go#L141-L146,0,
Go,extract data from html content,https://github.com/urandom/readeef/blob/63b79a7bde3f3da1f4b6b3224235c346a34906f0/content/repo/logging/extract.go#L27-L35,0,
Go,get current process id,https://github.com/go-vgo/robotgo/blob/d643b9ffe5a44c524740136edc428be68ddbecae/examples/window/main.go#L30-L52,0,
Go,get inner html,https://github.com/labstack/echo/blob/5d2c33ad5dbb78540a56dd08d09d91f991bc3156/context.go#L402-L404,1,
Go,convert json to csv,https://github.com/wildducktheories/go-csv/blob/a843eda7bf0911b9acdfd11a9a41ed87282dcbdd/cmd/csv-to-json/main.go#L12-L26,1,
Go,finding time elapsed using a timer,https://github.com/uber-go/ratelimit/blob/c15da02342779cb6dc027fc95ee2277787698f36/internal/clock/clock.go#L66-L76,1,
Go,copying a file to a path,https://github.com/pilosa/pilosa/blob/67d53f6b48a43f7fe090f48e35518ca8d024747c/fragment.go#L2136-L2166,1,
Go,parse json file,https://github.com/cloudfoundry/cli/blob/5010c000047f246b870475e2c299556078cdad30/cf/util/json/json_parser.go#L29-L54,1,"Not irrelevant, it contains functions that are not defined here. However I could click on the link to GitHub and check the code what `parseJSON()` means. "
Go,how to check if a checkbox is checked,https://github.com/sclevine/agouti/blob/96599c91888f1b1cf2dccc7f1776ba7f511909e5/selection_actions.go#L114-L137,2,
Go,priority queue,https://github.com/beeker1121/goque/blob/4044bc29b28064db4f08e947c4972d5ca3e0f3c8/priority_queue.go#L122-L124,1,
Go,map to json,https://github.com/go-openapi/swag/blob/b3e2804c8535ee0d1b89320afd98474d5b8e9e3b/json.go#L170-L181,2,
Go,matrix multiply,https://github.com/fogleman/gg/blob/72436a171bf31757dc87fb8fa9f7485307350307/matrix.go#L82-L84,1,
Go,how to empty array,https://github.com/glycerine/zygomys/blob/36f1c7120ff2d831cebbb6f059ddc948273a8b56/zygo/functions.go#L783-L809,0,
Go,reading element from html - <td>,https://github.com/ghetzel/go-webfriend/blob/0746aa14b9afa6b488313705edf19a33d9dff469/browser/tab.go#L945-L988,1,
Go,heatmap from 3d coordinates,https://github.com/go-gl/gl/blob/bf2b1f2f34d7f6a60a99a830f65dcd6afb0c6587/v3.1/gles2/package.go#L9402-L9404,0,
Go,parse query string in url,https://github.com/fabric8-services/fabric8-wit/blob/54759c80c42ff2cf29b352e0f6c9330ce4ad7fce/search/search_repository.go#L204-L213,2,
Go,copy to clipboard,https://github.com/gopasspw/gopass/blob/fe4e21d62182f0f2e4ef9a0ca8168d849dc52bd4/pkg/clipboard/unclip.go#L15-L45,1,
Go,export to excel,https://github.com/go-ole/go-ole/blob/97b6244175ae18ea6eef668034fd6565847501c9/_example/excel2/excel.go#L80-L96,1,
Go,scatter plot,https://github.com/vdobler/chart/blob/6627804132c7c237061d1c8fd2554e3206daecb6/example/samplecharts.go#L186-L233,2,
